Date,Time_Start,Time_End,Time_Zone,Close,Net_Chg,Open,High,Low,Volume
1/2/18,14:30:00,15:00:00,UTC,267.99,1.05,267.84,268,267.4,8746329
1/2/18,15:00:00,15:30:00,UTC,268.41,0.42,267.99,268.42,267.96,5145910
1/2/18,15:30:00,16:00:00,UTC,268.26,-0.15,268.41,268.45,267.96,4162492
1/2/18,16:00:00,16:30:00,UTC,268.155,-0.105,268.265,268.41,268.12,2718490
1/2/18,16:30:00,17:00:00,UTC,268.15,-0.005,268.16,268.18,267.99,2144172
1/2/18,17:00:00,17:30:00,UTC,268.24,0.09,268.15,268.3,268.14,1787747
1/2/18,17:30:00,18:00:00,UTC,268.135,-0.105,268.249,268.26,268.07,1729618
1/2/18,18:00:00,18:30:00,UTC,268.28,0.145,268.13,268.33,268.121,1735188
1/2/18,18:30:00,19:00:00,UTC,268.27,-0.01,268.28,268.34,268.17,2854559
1/2/18,19:00:00,19:30:00,UTC,268.28,0.01,268.275,268.35,268.21,1300730
1/2/18,19:30:00,20:00:00,UTC,268.31,0.03,268.28,268.36,268.25,4624142
1/2/18,20:00:00,20:30:00,UTC,268.5,0.19,268.315,268.52,268.27,4074502
1/2/18,20:30:00,21:00:00,UTC,268.8,0.3,268.5,268.81,268.34,11172077
1/3/18,14:30:00,15:00:00,UTC,269.59,0.79,268.96,269.61,268.96,6248301
1/3/18,15:00:00,15:30:00,UTC,269.89,0.3,269.585,269.94,269.54,5545811
1/3/18,15:30:00,16:00:00,UTC,269.845,-0.045,269.89,270.07,269.73,4153810
1/3/18,16:00:00,16:30:00,UTC,269.93,0.085,269.845,269.975,269.765,2221213
1/3/18,16:30:00,17:00:00,UTC,269.86,-0.07,269.93,270,269.82,2609051
1/3/18,17:00:00,17:30:00,UTC,270.05,0.19,269.86,270.05,269.86,2205112
1/3/18,17:30:00,18:00:00,UTC,270.33,0.28,270.04,270.46,270.03,2892913
1/3/18,18:00:00,18:30:00,UTC,270.28,-0.05,270.33,270.36,270.265,2753834
1/3/18,18:30:00,19:00:00,UTC,270.03,-0.25,270.27,270.281,269.97,2572329
1/3/18,19:00:00,19:30:00,UTC,270.21,0.18,270.02,270.24,269.99,3725570
1/3/18,19:30:00,20:00:00,UTC,270.277,0.067,270.21,270.36,270.14,3039932
1/3/18,20:00:00,20:30:00,UTC,270.36,0.083,270.28,270.37,270.2,2540020
1/3/18,20:30:00,21:00:00,UTC,270.47,0.11,270.36,270.64,270.33,14590122
1/4/18,14:30:00,15:00:00,UTC,271.84,1.37,271.2,271.86,271.1,8426741
1/4/18,15:00:00,15:30:00,UTC,271.95,0.11,271.84,271.96,271.659,4734708
1/4/18,15:30:00,16:00:00,UTC,271.89,-0.06,271.95,272.16,271.79,4212518
1/4/18,16:00:00,16:30:00,UTC,271.57,-0.32,271.89,271.92,271.53,3636788
1/4/18,16:30:00,17:00:00,UTC,271.621,0.051,271.57,271.7,271.43,3052881
1/4/18,17:00:00,17:30:00,UTC,271.72,0.099,271.629,271.89,271.585,2997297
1/4/18,17:30:00,18:00:00,UTC,271.86,0.14,271.72,271.93,271.66,2245266
1/4/18,18:00:00,18:30:00,UTC,271.84,-0.02,271.86,271.91,271.73,1762907
1/4/18,18:30:00,19:00:00,UTC,271.93,0.09,271.84,271.95,271.76,1604349
1/4/18,19:00:00,19:30:00,UTC,271.815,-0.115,271.931,272.06,271.8,2682814
1/4/18,19:30:00,20:00:00,UTC,271.9,0.085,271.81,271.98,271.79,1778141
1/4/18,20:00:00,20:30:00,UTC,271.9,0,271.9,271.97,271.67,3941245
1/4/18,20:30:00,21:00:00,UTC,271.57,-0.33,271.89,271.897,271.56,11459687
1/5/18,14:30:00,15:00:00,UTC,272.3,0.73,272.51,272.6,271.95,5923271
1/5/18,15:00:00,15:30:00,UTC,272.18,-0.12,272.3,272.52,272.14,2878251
1/5/18,15:30:00,16:00:00,UTC,272.43,0.25,272.18,272.48,272.155,2986593
1/5/18,16:00:00,16:30:00,UTC,272.655,0.225,272.42,272.73,272.34,2693489
1/5/18,16:30:00,17:00:00,UTC,272.62,-0.035,272.66,272.69,272.55,2205722
1/5/18,17:00:00,17:30:00,UTC,272.665,0.045,272.615,272.7,272.5,1760921
1/5/18,17:30:00,18:00:00,UTC,272.49,-0.175,272.67,272.67,272.39,2480838
1/5/18,18:00:00,18:30:00,UTC,272.635,0.145,272.5,272.64,272.49,1458735
1/5/18,18:30:00,19:00:00,UTC,272.674,0.039,272.64,272.73,272.62,1129789
1/5/18,19:00:00,19:30:00,UTC,272.87,0.196,272.68,272.89,272.61,2464868
1/5/18,19:30:00,20:00:00,UTC,272.85,-0.02,272.87,272.995,272.82,2456407
