Date,Time_Start,Time_End,Time_Zone,Close,Net_Chg,Open,High,Low,Volume
1/2/18,14:30:00,15:00:00,UTC,63.466,1.196,62.4,63.542,62.2,3367615
1/2/18,15:00:00,15:30:00,UTC,63.471,0.005,63.464,63.774,63.43,2287470
1/2/18,15:30:00,16:00:00,UTC,63.61,0.139,63.484,63.67,63.28,1323565
1/2/18,16:00:00,16:30:00,UTC,64.152,0.542,63.606,64.156,63.55,2069670
1/2/18,16:30:00,17:00:00,UTC,64.103,-0.049,64.146,64.422,63.976,1379955
1/2/18,17:00:00,17:30:00,UTC,63.942,-0.161,64.103,64.245,63.886,758825
1/2/18,17:30:00,18:00:00,UTC,63.883,-0.059,63.968,63.968,63.768,584225
1/2/18,18:00:00,18:30:00,UTC,63.85,-0.033,63.868,64,63.816,517565
1/2/18,18:30:00,19:00:00,UTC,63.944,0.094,63.836,63.985,63.83,328540
1/2/18,19:00:00,19:30:00,UTC,64.182,0.238,63.931,64.207,63.896,903450
1/2/18,19:30:00,20:00:00,UTC,64.088,-0.094,64.188,64.314,64.056,589745
1/2/18,20:00:00,20:30:00,UTC,64.018,-0.07,64.088,64.174,64,688700
1/2/18,20:30:00,21:00:00,UTC,64.106,0.088,64.015,64.194,63.954,2157725
1/3/18,14:30:00,15:00:00,UTC,64.962,0.856,64.2,64.974,63.92,3298225
1/3/18,15:00:00,15:30:00,UTC,64.426,-0.536,64.94,65.05,64.335,1760750
1/3/18,15:30:00,16:00:00,UTC,64.54,0.114,64.43,64.776,64.418,958925
1/3/18,16:00:00,16:30:00,UTC,64.192,-0.348,64.549,64.554,64.014,1306500
1/3/18,16:30:00,17:00:00,UTC,64.03,-0.162,64.18,64.23,63.937,972625
1/3/18,17:00:00,17:30:00,UTC,63.846,-0.184,64.045,64.105,63.732,697995
1/3/18,17:30:00,18:00:00,UTC,64.03,0.184,63.854,64.28,63.8,828065
1/3/18,18:00:00,18:30:00,UTC,63.91,-0.12,64.048,64.124,63.902,406490
1/3/18,18:30:00,19:00:00,UTC,63.602,-0.308,63.91,63.942,63.556,969730
1/3/18,19:00:00,19:30:00,UTC,63.443,-0.159,63.616,63.646,63.272,1109585
1/3/18,19:30:00,20:00:00,UTC,63.158,-0.285,63.446,63.456,63.11,965255
1/3/18,20:00:00,20:30:00,UTC,63.446,0.288,63.184,63.5,63.118,1069940
1/3/18,20:30:00,21:00:00,UTC,63.45,0.004,63.449,63.51,63.288,2058975
1/4/18,14:30:00,15:00:00,UTC,61.782,-1.668,62.574,63.1,61.53,9338315
1/4/18,15:00:00,15:30:00,UTC,61.718,-0.064,61.788,61.928,61.136,4764285
1/4/18,15:30:00,16:00:00,UTC,62.676,0.958,61.72,63,61.572,5125410
1/4/18,16:00:00,16:30:00,UTC,63.219,0.543,62.656,63.25,62.578,3330305
1/4/18,16:30:00,17:00:00,UTC,63.2,-0.019,63.207,63.71,63.14,3457135
1/4/18,17:00:00,17:30:00,UTC,63.106,-0.094,63.152,63.3,63.07,1295355
1/4/18,17:30:00,18:00:00,UTC,62.972,-0.134,63.12,63.484,62.92,2062810
1/4/18,18:00:00,18:30:00,UTC,62.56,-0.412,62.949,62.949,62.544,1738360
1/4/18,18:30:00,19:00:00,UTC,62.91,0.35,62.582,63.016,62.52,1429480
1/4/18,19:00:00,19:30:00,UTC,62.727,-0.183,62.924,63.124,62.71,961275
1/4/18,19:30:00,20:00:00,UTC,62.915,0.188,62.735,62.939,62.662,768025
1/4/18,20:00:00,20:30:00,UTC,62.946,0.031,62.898,63,62.724,930800
1/4/18,20:30:00,21:00:00,UTC,62.924,-0.022,62.964,62.988,62.714,3513025
1/5/18,14:30:00,15:00:00,UTC,63.134,0.21,63.324,63.35,62.666,3051295
1/5/18,15:00:00,15:30:00,UTC,62.722,-0.412,63.148,63.185,62.666,1830855
